epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,504.465,1.76894,2.45684,1.82369,0.41317,0.69077,0.59839,0.3342,1.44881,4.56382,1.51229,0.00017,0.00017,0.00017
2,999.849,1.46961,1.45903,1.54157,0.65924,0.6672,0.60047,0.32654,1.64489,4.25657,1.81457,0.000348075,0.000348075,0.000348075
3,1495.31,1.57187,1.36262,1.615,0.71723,0.62171,0.65576,0.31922,1.75401,3.53328,2.17016,0.00052417,0.00052417,0.00052417
4,1989.7,1.51446,1.28669,1.59891,0.46194,0.2438,0.16401,0.08516,2.33161,1796.11,9.38116,0.000698285,0.000698285,0.000698285
5,2485.68,1.50146,1.24952,1.60093,0.52891,0.36523,0.31922,0.16508,2.11165,6.44891,2.48398,0.00087042,0.00087042,0.00087042
6,2981.26,1.51949,1.33728,1.63349,0.36963,0.33893,0.30776,0.15794,2.223,4.08188,3.02719,0.0009725,0.0009725,0.0009725
7,3477.26,1.54073,1.22767,1.63424,0.53776,0.60925,0.5775,0.2592,1.97217,3.30145,2.18091,0.000967,0.000967,0.000967
8,3978.43,1.46995,1.14429,1.56224,0.51197,0.60484,0.5984,0.32038,1.7271,2.21653,2.03321,0.0009615,0.0009615,0.0009615
9,4477.82,1.48786,1.09955,1.59367,0.15059,0.35598,0.10593,0.04741,1.82293,82.2845,2.08732,0.000956,0.000956,0.000956
10,4979.89,1.5289,1.10606,1.61487,0.48119,0.47832,0.42285,0.21918,2.1675,10.1297,2.36995,0.0009505,0.0009505,0.0009505
11,5477.15,1.47629,1.09938,1.57816,0.43035,0.27935,0.28509,0.14716,2.43913,4.68736,2.44219,0.000945,0.000945,0.000945
12,5976.04,1.4315,1.03904,1.53714,0.70618,0.7582,0.77589,0.42541,1.57366,1.1274,1.79458,0.0009395,0.0009395,0.0009395
13,6474.98,1.39268,0.97954,1.52331,0.86332,0.70125,0.76333,0.44415,1.59831,1.25701,1.8475,0.000934,0.000934,0.000934
14,6971.27,1.41778,0.93223,1.49692,0.87375,0.63763,0.72753,0.3889,1.69053,1.1649,1.98009,0.0009285,0.0009285,0.0009285
15,7470.89,1.4462,1.00459,1.60118,0.86104,0.72022,0.77934,0.43639,1.54884,1.14854,1.8158,0.000923,0.000923,0.000923
16,7968.54,1.39392,0.96588,1.5279,0.78585,0.76836,0.80694,0.43132,1.55872,0.93264,1.74935,0.0009175,0.0009175,0.0009175
17,8465,1.37973,0.95875,1.54179,0.73314,0.79135,0.81119,0.47513,1.45606,0.94352,1.6842,0.000912,0.000912,0.000912
18,8962.43,1.37548,0.94231,1.50245,0.80275,0.74803,0.80734,0.45112,1.54446,0.98058,1.73181,0.0009065,0.0009065,0.0009065
19,9459.8,1.38222,0.89775,1.49747,0.77129,0.8067,0.81939,0.44875,1.61688,0.92956,1.75809,0.000901,0.000901,0.000901
20,9955.69,1.435,0.93507,1.54286,0.73599,0.7843,0.79924,0.44895,1.53966,0.83703,1.69542,0.0008955,0.0008955,0.0008955
21,10453.4,1.38351,0.90217,1.53423,0.72759,0.84196,0.83342,0.46934,1.56787,0.83415,1.72529,0.00089,0.00089,0.00089
22,10950.1,1.36505,0.87573,1.49502,0.72943,0.81528,0.80553,0.47677,1.47905,0.86376,1.67978,0.0008845,0.0008845,0.0008845
23,11446.6,1.3359,0.87364,1.47962,0.79876,0.84519,0.85019,0.48191,1.4879,0.77497,1.67284,0.000879,0.000879,0.000879
